ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 2 default","Download 1 ID","Download 1 name","Download 1 URL","Meta: _product_url"
454,simple,,"Robeto Suit blazer",1,0,visible,"Product categories and tags work in much the same way as normal categories and tags you have when writing posts in WordPress. They can be created, edited, and selected at any time.","[elementor-template id=""455""]",,,taxable,,1,,,0,0,,,,,1,,,69,Women,"clean, fashion, m1, m1-1, nova, suits, trends, women, woocommerce",,"https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_03.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_04.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_05.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_01.jpg",,,,,,,,,0,,,,,,,,,,,,,,,
463,variable,,"Blazer suit 100% linen",1,0,visible,"Product categories and tags work in much the same way as normal categories and tags you have when writing posts in WordPress. They can be created, edited, and selected at any time.","[elementor-template id=""455""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"clean, fashion, m1, m1-1, nova, suits, trends, women, woocommerce",,"https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_03.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p03_02.jpg",,,,,,,,,0,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#d1d1d1"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}},""Size"":{""name"":""Size"",""type"":""button"",""terms"":{""35"":{""name"":""35"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""36"":{""name"":""36"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""37"":{""name"":""37"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""38"":{""name"":""38"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""39"":{""name"":""39"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""40"":{""name"":""40"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",1,1,Red,Size,"35, 36, 37, 38, 39, 40",1,1,36,,,,
466,variation,,"Blazer suit 100% linen - Blue, 35",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,1,,Color,Blue,,1,,Size,35,,1,,,,,
467,variation,,"Blazer suit 100% linen - Blue, 36",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,2,,Color,Blue,,1,,Size,36,,1,,,,,
468,variation,,"Blazer suit 100% linen - Blue, 37",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,3,,Color,Blue,,1,,Size,37,,1,,,,,
469,variation,,"Blazer suit 100% linen - Blue, 38",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,4,,Color,Blue,,1,,Size,38,,1,,,,,
470,variation,,"Blazer suit 100% linen - Blue, 39",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,5,,Color,Blue,,1,,Size,39,,1,,,,,
471,variation,,"Blazer suit 100% linen - Blue, 40",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,6,,Color,Blue,,1,,Size,40,,1,,,,,
472,variation,,"Blazer suit 100% linen - Gray, 35",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,7,,Color,Gray,,1,,Size,35,,1,,,,,
473,variation,,"Blazer suit 100% linen - Gray, 36",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,8,,Color,Gray,,1,,Size,36,,1,,,,,
474,variation,,"Blazer suit 100% linen - Gray, 37",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,9,,Color,Gray,,1,,Size,37,,1,,,,,
475,variation,,"Blazer suit 100% linen - Gray, 38",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,10,,Color,Gray,,1,,Size,38,,1,,,,,
476,variation,,"Blazer suit 100% linen - Gray, 39",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,11,,Color,Gray,,1,,Size,39,,1,,,,,
477,variation,,"Blazer suit 100% linen - Gray, 40",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,12,,Color,Gray,,1,,Size,40,,1,,,,,
478,variation,,"Blazer suit 100% linen - Green, 35",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,13,,Color,Green,,1,,Size,35,,1,,,,,
479,variation,,"Blazer suit 100% linen - Green, 36",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,14,,Color,Green,,1,,Size,36,,1,,,,,
480,variation,,"Blazer suit 100% linen - Green, 37",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,79,,,,,,,id:463,,,,,,15,,Color,Green,,1,,Size,37,,1,,,,,
481,variation,,"Blazer suit 100% linen - Green, 38",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,16,,Color,Green,,1,,Size,38,,1,,,,,
482,variation,,"Blazer suit 100% linen - Green, 39",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,17,,Color,Green,,1,,Size,39,,1,,,,,
483,variation,,"Blazer suit 100% linen - Green, 40",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,18,,Color,Green,,1,,Size,40,,1,,,,,
484,variation,,"Blazer suit 100% linen - Red, 35",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,19,,Color,Red,,1,,Size,35,,1,,,,,
485,variation,,"Blazer suit 100% linen - Red, 36",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,20,,Color,Red,,1,,Size,36,,1,,,,,
486,variation,,"Blazer suit 100% linen - Red, 37",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,21,,Color,Red,,1,,Size,37,,1,,,,,
487,variation,,"Blazer suit 100% linen - Red, 38",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,22,,Color,Red,,1,,Size,38,,1,,,,,
488,variation,,"Blazer suit 100% linen - Red, 39",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,23,,Color,Red,,1,,Size,39,,1,,,,,
489,variation,,"Blazer suit 100% linen - Red, 40",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,24,,Color,Red,,1,,Size,40,,1,,,,,
490,variation,,"Blazer suit 100% linen - Yellow, 35",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,25,,Color,Yellow,,1,,Size,35,,1,,,,,
491,variation,,"Blazer suit 100% linen - Yellow, 36",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,26,,Color,Yellow,,1,,Size,36,,1,,,,,
492,variation,,"Blazer suit 100% linen - Yellow, 37",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,27,,Color,Yellow,,1,,Size,37,,1,,,,,
493,variation,,"Blazer suit 100% linen - Yellow, 38",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,28,,Color,Yellow,,1,,Size,38,,1,,,,,
494,variation,,"Blazer suit 100% linen - Yellow, 39",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,29,,Color,Yellow,,1,,Size,39,,1,,,,,
495,variation,,"Blazer suit 100% linen - Yellow, 40",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:463,,,,,,30,,Color,Yellow,,1,,Size,40,,1,,,,,
499,"simple, downloadable",,"Pockets suit blazer",1,0,visible,"Product categories and tags work in much the same way as normal categories and tags you have when writing posts in WordPress. They can be created, edited, and selected at any time.","[elementor-template id=""455""]",,,taxable,,1,,,0,0,,,,,1,,49,69,Women,"clean, fashion, m1, m1-1, nova, suits, trends, women, woocommerce",,"https://robeto.novaworks.net/wp-content/uploads/2022/09/p03_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p03_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_03.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_02.jpg",'-1,'-1,,,,,,,0,,,,,,,,,,,,a113fd6c-f59d-4396-8d31-ed931aaa5e70,p03_01.jpg,https://robeto.novaworks.net/wp-content/uploads/2022/09/p03_01.jpg,
511,external,,"Bow suit blazer",1,0,visible,"Product categories and tags work in much the same way as normal categories and tags you have when writing posts in WordPress. They can be created, edited, and selected at any time.","[elementor-template id=""455""]",,,taxable,,1,,,0,0,,,,,1,,69,99,Women,"clean, fashion, m1, m1-1, nova, suits, trends, women, woocommerce",,"https://robeto.novaworks.net/wp-content/uploads/2022/09/p04_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p04_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p03_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_03.jpg",,,,,,,https://shop.mango.com/es/mujer/abrigos-abrigos/abrigo-lana-botones_37015146.html?c=99,,0,,,,,,,,,,,,,,,
514,grouped,,"Wrap check suit jacket",1,0,visible,"Product categories and tags work in much the same way as normal categories and tags you have when writing posts in WordPress. They can be created, edited, and selected at any time.","[elementor-template id=""455""]",,,taxable,,1,,,0,0,,,,,1,,,,Women,"clean, fashion, m1, m1-1, nova, suits, trends, women, woocommerce",,"https://robeto.novaworks.net/wp-content/uploads/2022/09/p05_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p05_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p03_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_02.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p02_01.jpg, https://robeto.novaworks.net/wp-content/uploads/2022/09/p01_03.jpg",,,,"id:454, id:463, id:499, id:511",,,,,0,,,,,,,,,,,,,,,https://shop.mango.com/es/mujer/abrigos-abrigos/abrigo-lana-botones_37015146.html?c=99
